epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.891,0.92871,4.2752,0.01713,0.72268,0.65505,0.68218,0.41381,1.07918,4.74671,0.03132,0.0006621,0.0006621,0.0006621
2,705.488,1.14802,2.74075,0.0217,0.6001,0.56969,0.55475,0.29302,1.37458,2.22526,0.04093,0.00128492,0.00128492,0.00128492
3,911.079,1.26528,1.93526,0.02441,0.71427,0.70209,0.71176,0.38077,1.44575,1.50667,0.04628,0.00186374,0.00186374,0.00186374
4,1113.39,1.31613,1.60519,0.02628,0.74832,0.61122,0.69434,0.37052,1.44867,1.48916,0.04406,0.001802,0.001802,0.001802
5,1319.03,1.30396,1.45947,0.02518,0.67795,0.5868,0.63832,0.34462,1.47043,1.52267,0.04549,0.001736,0.001736,0.001736
6,1521.51,1.281,1.36682,0.02509,0.67888,0.67769,0.68773,0.41133,1.36456,1.2831,0.04318,0.00167,0.00167,0.00167
7,1729.78,1.26695,1.31565,0.02441,0.65263,0.63937,0.65197,0.36107,1.40615,1.43427,0.0444,0.001604,0.001604,0.001604
8,1942.55,1.22837,1.27132,0.02363,0.79849,0.73171,0.80159,0.4989,1.31117,1.02075,0.03951,0.001538,0.001538,0.001538
9,2154.58,1.18961,1.18149,0.02286,0.83331,0.76641,0.84266,0.53655,1.22531,0.93258,0.03726,0.001472,0.001472,0.001472
10,2366.05,1.15475,1.16061,0.02194,0.88032,0.73868,0.8507,0.56622,1.14407,0.8775,0.03374,0.001406,0.001406,0.001406
11,2575.67,1.11341,1.11642,0.02128,0.85023,0.81707,0.87336,0.58523,1.16379,0.79408,0.03521,0.00134,0.00134,0.00134
12,2782.18,1.11794,1.0887,0.02115,0.80291,0.79443,0.84468,0.58335,1.0874,0.87263,0.03195,0.001274,0.001274,0.001274
13,2987.18,1.10117,1.03516,0.02088,0.8085,0.77231,0.84599,0.59473,1.04267,0.8654,0.03104,0.001208,0.001208,0.001208
14,3193.63,1.08479,1.05081,0.02058,0.84421,0.78356,0.86413,0.59442,1.11743,0.77029,0.03397,0.001142,0.001142,0.001142
15,3403.34,1.03944,0.98642,0.01994,0.80936,0.81882,0.8571,0.59612,1.07668,0.84513,0.03177,0.001076,0.001076,0.001076
16,3607.24,1.04694,0.95483,0.01965,0.84737,0.83101,0.86563,0.62151,1.02091,0.74048,0.02929,0.00101,0.00101,0.00101
17,3814.57,1.02739,0.95353,0.0192,0.88365,0.78063,0.87476,0.64922,0.98598,0.72205,0.02789,0.000944,0.000944,0.000944
18,4020.85,1.00014,0.90761,0.01881,0.87183,0.83972,0.87657,0.65495,0.94524,0.67997,0.02665,0.000878,0.000878,0.000878
19,4226.62,0.97735,0.8985,0.01798,0.86824,0.86411,0.90048,0.68648,0.89658,0.65822,0.02523,0.000812,0.000812,0.000812
20,4446.22,0.95112,0.88744,0.01756,0.85805,0.85192,0.89286,0.66965,0.90599,0.66921,0.02551,0.000746,0.000746,0.000746
21,4664.41,0.88735,0.66015,0.02247,0.88003,0.83065,0.88608,0.67079,0.90216,0.70662,0.02548,0.00068,0.00068,0.00068
22,4870.32,0.83471,0.5875,0.0207,0.87851,0.84409,0.88755,0.68165,0.88302,0.67428,0.0246,0.000614,0.000614,0.000614
23,5073.78,0.82105,0.58502,0.02029,0.86253,0.86063,0.90042,0.69105,0.86789,0.63164,0.02436,0.000548,0.000548,0.000548
24,5282.62,0.7862,0.5156,0.01949,0.88929,0.83972,0.89676,0.6864,0.8591,0.63448,0.02418,0.000482,0.000482,0.000482
25,5489.79,0.76926,0.49825,0.01856,0.88143,0.86773,0.90167,0.707,0.82662,0.61074,0.02278,0.000416,0.000416,0.000416
26,5694.54,0.72224,0.47152,0.01757,0.88026,0.8676,0.90192,0.7086,0.83959,0.59448,0.02333,0.00035,0.00035,0.00035
27,5903.6,0.71577,0.45699,0.01725,0.8895,0.86585,0.90987,0.71783,0.81779,0.59904,0.02273,0.000284,0.000284,0.000284
28,6110.52,0.6765,0.43318,0.01617,0.89696,0.86934,0.9103,0.72049,0.81604,0.57616,0.02272,0.000218,0.000218,0.000218
29,6316.77,0.67577,0.42874,0.01628,0.90226,0.85238,0.90999,0.72768,0.79061,0.57378,0.02191,0.000152,0.000152,0.000152
30,6522.16,0.66233,0.40831,0.01553,0.90597,0.86063,0.9132,0.73065,0.79074,0.58362,0.02176,8.6e-05,8.6e-05,8.6e-05
