epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.006,1.08052,3.14735,0.02101,0.62176,0.53484,0.55853,0.28155,1.45548,1.75884,0.04419,0.0006621,0.0006621,0.0006621
2,442.554,1.43302,1.72454,0.02847,0.43988,0.58537,0.49382,0.21422,1.75507,1.86299,0.05619,0.00128492,0.00128492,0.00128492
3,637.488,1.55777,1.66253,0.03121,0.61119,0.54007,0.55722,0.26162,1.76665,1.6931,0.05531,0.00186374,0.00186374,0.00186374
4,832.66,1.50799,1.557,0.0309,0.62536,0.6115,0.63821,0.3223,1.63422,1.50697,0.05242,0.001802,0.001802,0.001802
5,1024.16,1.45177,1.46443,0.0287,0.66113,0.58362,0.63101,0.30185,1.69931,1.55043,0.05646,0.001736,0.001736,0.001736
6,1213.06,1.40358,1.37839,0.02762,0.73636,0.60279,0.69738,0.36417,1.49403,1.40361,0.04562,0.00167,0.00167,0.00167
7,1404.25,1.35877,1.33698,0.02674,0.75479,0.6446,0.72736,0.41623,1.41439,1.19307,0.04277,0.001604,0.001604,0.001604
8,1594.23,1.33221,1.29381,0.02598,0.8105,0.71535,0.79329,0.49325,1.24965,1.06986,0.03718,0.001538,0.001538,0.001538
9,1776.77,1.30242,1.21465,0.02535,0.77961,0.73345,0.80279,0.48342,1.3315,1.00959,0.04021,0.001472,0.001472,0.001472
10,1963.54,1.2337,1.19497,0.02361,0.78224,0.72997,0.80216,0.49716,1.29687,0.99071,0.03879,0.001406,0.001406,0.001406
11,2144.26,1.20901,1.11861,0.0234,0.73605,0.71902,0.779,0.49103,1.23767,1.06913,0.03724,0.00134,0.00134,0.00134
12,2325.16,1.21627,1.12484,0.02325,0.80599,0.72997,0.80539,0.51012,1.21938,0.99178,0.03609,0.001274,0.001274,0.001274
13,2509.12,1.16395,1.05944,0.02222,0.85143,0.79617,0.85328,0.5741,1.12994,0.87493,0.03294,0.001208,0.001208,0.001208
14,2696.32,1.15213,1.03834,0.0221,0.83088,0.81314,0.86219,0.58563,1.13328,0.82465,0.03393,0.001142,0.001142,0.001142
15,2884.03,1.07882,0.98356,0.02082,0.85363,0.80662,0.86258,0.61681,1.03756,0.76776,0.03013,0.001076,0.001076,0.001076
16,3068.15,1.08003,0.9651,0.02054,0.82856,0.79146,0.85307,0.58599,1.09524,0.82672,0.03248,0.00101,0.00101,0.00101
17,3252.08,1.07293,0.94998,0.02021,0.87115,0.77875,0.8684,0.61074,1.02729,0.8253,0.0297,0.000944,0.000944,0.000944
18,3437.5,1.04296,0.92677,0.01987,0.87434,0.81707,0.88236,0.65011,0.9836,0.72962,0.02844,0.000878,0.000878,0.000878
19,3623.87,1.02087,0.93257,0.01898,0.89792,0.7969,0.88045,0.62237,1.04226,0.72829,0.03107,0.000812,0.000812,0.000812
20,3806.88,1.00781,0.87591,0.01877,0.88511,0.80488,0.89099,0.67098,0.92297,0.67623,0.02614,0.000746,0.000746,0.000746
21,4005.24,0.90432,0.68176,0.02326,0.84168,0.83101,0.89125,0.66031,0.96608,0.66117,0.02748,0.00068,0.00068,0.00068
22,4190.86,0.88687,0.60962,0.0228,0.882,0.80738,0.8867,0.65902,0.96089,0.66136,0.02765,0.000614,0.000614,0.000614
23,4375.5,0.87838,0.58092,0.022,0.90422,0.85017,0.90516,0.67911,0.96028,0.63262,0.02728,0.000548,0.000548,0.000548
24,4561.9,0.82605,0.53965,0.02078,0.88013,0.83142,0.90674,0.69942,0.88514,0.60428,0.02498,0.000482,0.000482,0.000482
25,4743.41,0.80268,0.50724,0.01983,0.89095,0.86237,0.90275,0.69436,0.87819,0.6062,0.02479,0.000416,0.000416,0.000416
26,4926.99,0.76653,0.47641,0.01907,0.88427,0.85889,0.9061,0.70453,0.85909,0.57893,0.02391,0.00035,0.00035,0.00035
27,5110.71,0.7526,0.47737,0.01836,0.89908,0.84843,0.91045,0.71586,0.83,0.57957,0.02302,0.000284,0.000284,0.000284
28,5290.15,0.70851,0.44946,0.01709,0.91172,0.87979,0.91599,0.71988,0.8287,0.5651,0.0229,0.000218,0.000218,0.000218
29,5470.83,0.70483,0.43279,0.01725,0.91369,0.86685,0.9147,0.72277,0.81605,0.55783,0.02253,0.000152,0.000152,0.000152
30,5657.65,0.67394,0.42284,0.01598,0.91607,0.87456,0.91473,0.72791,0.81367,0.55391,0.02246,8.6e-05,8.6e-05,8.6e-05
